             Comp.1       Comp.2      Comp.3        Comp.4       Comp.5
 [13,] -0.0438300097 -0.120172364 -0.372430250 -0.327180789
 [14,]  0.0831523245  0.114421992  0.132017179  0.416028041
 [15,] -0.2336978423  0.120538786 -0.262980816  0.048139236
 [16,]  0.1768070070  0.082548583 -0.080434909 -0.163998688
 [17,]  0.4256253489  0.685156041  0.107498478  0.206032994
 [18,] -0.3261833851 -0.327501903 -0.375977645  0.130305552
 [19,] -0.0075050390  0.277678095 -0.150916263 -0.536354023
 [20,]  0.0274155821  0.375963742 -0.088254424  0.500550067
 [21,] -0.4911436593  0.258520649 -0.321760366  0.042093039
 [22,]  0.0048337201 -0.025501446 -0.183962910  0.058777726
 [23,] -0.5971566016  0.460525138 -0.092495243  0.601364844
 [24,] -0.0414882863  0.084123649  0.019957711  0.001701625
 [25,]  0.2163961945 -0.073851315 -0.161610879  0.099300476
 [26,]  0.4920269689 -0.046035798  0.242787180  0.452189162
 [27,]  0.1005590584 -0.149075019  0.099956099 -0.061537095
 [ reached getOption("max.print") -- omitted 138 rows ]
