             Comp.1       Comp.2        Comp.3        Comp.4       Comp.5
  [8,]  1.936020880 -0.975264000  0.323118129  0.788410646 -1.72367716
  [9,]  0.352251057  0.322269722 -0.227866902  0.140343854 -0.23082197
 [10,] -1.500976664  0.558994243  1.485771365 -0.731333551 -0.26438581
 [11,] -0.536716879 -0.869533392 -0.879681860 -0.487060904 -0.73988328
 [12,] -0.380336425 -0.510017327 -0.661464444 -0.914420910 -0.42116534
 [13,] -0.476771459  1.152009330  1.810916574  0.132198469 -0.18905068
 [14,] -0.711332979 -0.405107863 -0.917598943  0.169777616  1.43367259
 [15,]  0.126266030 -0.067638051 -0.026837934 -0.588267100 -0.25056579
 [16,] -0.157582662  0.067397321 -0.423046004 -0.235118414  0.45670485
 [17,] -2.614946929  0.164849894  0.810718941 -1.805288763 -0.92266770
 [18,] -1.397090846 -0.038898213  0.884163219 -0.056116594 -1.42447880
 [19,] -0.388404357  0.378732397  0.481496994  0.278205103  0.04959968
 [20,]  0.218376903 -1.388421836  1.663561301 -0.067578874  0.61733107
 [21,] -1.587518957  1.069143567  0.070983976  1.297990152  0.47934691
 [22,] -1.179955975  0.101009991 -0.270929393 -0.220708502  0.13038701
 [23,]  0.438717511 -1.147283755  0.409178156 -0.767063264  0.71377794
 [24,]  1.936020880 -0.975264000  0.323118129  0.788410646 -1.72367716
 [25,]  0.266308781  0.484635580 -0.959594728 -0.791672314 -0.23957864
 [26,] -1.202247077 -0.454928630  0.015069132 -0.321318460  0.35711806
 [27,]  0.303066712 -0.179338676  0.871350247 -0.622453920  2.00746374
            Comp.16      Comp.17       Comp.18       Comp.19      Comp.20
  [1,]  1.457176526  0.257718994 -0.3909553209 -1.0129374897 -1.038086487
  [2,]  0.241437066  0.704757602  0.7641753904 -0.6488707520 -0.368276841
  [3,] -0.452804227  0.333905209  0.1749479425 -0.0742787403 -0.364848152
  [4,] -0.566005177 -0.871363331  1.1849664656  0.5233057925 -0.368814393
  [5,]  0.382922021  0.711546935  0.5295963179 -0.1899330010 -0.903262676
  [6,]  0.551626704  0.262792180 -0.9662829219  0.4092892358 -0.064223843
  [7,] -0.467106590  0.672418302 -0.6691185005 -0.9967758667 -1.579511413
  [8,] -0.784515760 -0.099951981  0.1518086956  1.3318841222 -0.408182664
  [9,]  0.249385241 -0.870474120  0.3915756828  0.2340615066  0.567938402
 [10,] -0.928905638 -0.614584338  0.2311971110 -0.7252939544  0.142727171
 [11,]  0.019460155 -0.433925493  0.1924739730  0.8932014662 -0.621878137
 [12,] -0.138936886 -0.914168901  1.5772148301 -0.6203247149  0.107139215
 [13,]  1.643246325  0.647622022  0.9801854668 -0.4621418104  0.907327488
 [14,]  1.697542357 -1.239745754  1.1341234401 -0.4349887308  0.878093319
 [15,]  0.241437066  0.704757602  0.7641753904 -0.6488707520 -0.368276841
 [16,]  0.747465791 -0.042189894  0.7965466192  0.8459864917  0.113260161
 [17,] -0.459253144  1.435506943  0.8614701703  1.4565655127 -0.926714619
 [18,] -0.542352834  1.350859511  0.5176744766 -0.9550891497  1.005542959
 [19,] -0.245856294 -0.851202196 -0.6278182497  0.3986999799 -0.129538704
 [20,] -0.911692313  0.417322412 -1.2310623747  0.2619373221 -0.007854978
 [21,] -0.274635340 -0.708594003 -0.4595346724  1.3000673351  0.033018190
 [22,] -0.541103537 -0.700385313 -0.5074652038 -0.1903393838  0.437562825
 [23,]  0.622207246  0.115824192  0.5294810382 -0.3042774748  1.168726941
 [24,] -0.784515760 -0.099951981  0.1518086956  1.3318841222 -0.408182664
 [25,]  0.932821473  0.288669419 -0.3570227492 -0.2849070010  0.356187837
 [26,] -0.001529012 -0.141146194  0.9887288729  0.6349027372 -0.532078472
 [27,]  0.095285564  0.852416058 -1.0358071751  0.1919639165  1.313585028
            Comp.21      Comp.22       Comp.23      Comp.24      Comp.25
  [1,] -0.024256657  0.056612187  6.077679e-01 -0.933219970  0.633601826
  [2,]  0.313651645 -0.304149512 -4.909851e-01  0.534099722 -0.210134281
  [3,]  0.736551468 -0.334148127  3.699918e-01  0.295879062  0.037597431
  [4,] -0.241611005 -0.343881821 -2.454551e-01 -0.628171510  0.903433255
  [5,] -0.374043325 -0.020430140 -3.083556e-01 -0.318287520 -0.474927428
  [6,] -0.893768365  0.552812105 -8.381772e-01  0.525238472 -0.755058640
  [7,] -0.480907024 -0.321119376 -3.894798e-01  0.729920998 -0.292704179
  [8,]  0.094315002 -0.212037705  3.792630e-01 -0.509276401  1.037442557
  [9,] -0.135156723 -0.476325925  4.984119e-01  0.176140495 -0.365877521
 [10,] -0.834959084  0.239506346 -5.197153e-01 -0.072577160  0.473327018
 [11,]  0.536961132 -0.773544396 -1.686574e-01 -0.838708318  0.175823853
 [12,]  0.399262151  1.067568850 -4.546051e-02 -0.232515959 -0.381033681
 [13,]  0.343900169  0.406108343 -8.022375e-01 -0.615454926 -0.709114401
 [14,]  0.344301288  0.282969818  2.808706e-01 -0.884026364 -0.297862551
 [15,]  0.313651645 -0.304149512 -4.909851e-01  0.534099722 -0.210134281
 [16,] -0.146390346  1.404468869  3.847843e-01  0.528667838 -0.818316391
 [17,]  0.630819467  0.122007434  2.443801e-01  0.536390439 -0.832600769
 [18,] -0.123845704  1.048183806 -6.470877e-01 -1.008336843  0.380695800
 [19,] -0.258020884 -0.702637340  1.008834e-01 -0.064607698 -0.562418283
 [20,] -0.877734050 -0.244622168  4.982000e-01 -0.633580592  0.097118427
 [21,] -0.223012370  0.817866554  3.440040e-01 -1.166610550  0.937424777
 [22,] -0.052994407  0.388935347  3.388149e-01 -0.313393284  0.047950626
 [23,]  0.351077880 -0.347501702  7.322899e-02 -0.428887120  0.657754192
 [24,]  0.094315002 -0.212037705  3.792630e-01 -0.509276401  1.037442557
 [25,]  0.486152730 -0.505795656 -1.329600e-01  0.211094459  0.207115398
 [26,] -0.328352878  0.360609241 -3.283458e-01 -0.300591480  0.331656524
 [27,] -0.039217680  0.078246506 -1.943239e-01  0.234386355  0.798003370
             Comp.26      Comp.27      Comp.28       Comp.29      Comp.30
  [1,] -0.2364302429  0.065231900  0.310225991 -1.0259841743  0.251214508
  [2,]  0.5374448250  0.162279391 -0.513545180 -0.5687094115 -0.167957373
  [3,]  0.0382875423 -0.145779955 -0.020269879  0.0056975477  0.006199639
